success
success
success
success
success
success
success
success
success
success
success
success
success
success
success
success
success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocytRunning): success
(karocyt)Running: success
(karocyt)Running: success
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running:              success[ exec-time = (jeCpo)time]
(karocyt)Running: Make Coffee         [ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine       [ exec-time = (jeCpo)time]
(karocyt)Running: Boil Water          [ exec-time = (jeCpo)time]
(karocyt)Running: Make Coffee         [ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine       [ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine        8.106231689453125e-06[ exec-time = (jeCpo)time]
(karocyt)Running: Boil Water           1.6689300537109375e-05[ exec-time = (jeCpo)time]
(karocyt)Running: Make Coffee          2.003225088119507[ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine        3.0994415283203125e-06[ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine        0.013 ms[ exec-time = (jeCpo)time]
(karocyt)Running: Start Machine        [ exec-time = 0.006 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.027 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.910 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.005 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.043 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.931 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.007 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.055 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 1.400 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.027 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.006 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 1.005 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.002 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.004 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.899 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.001 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.006 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.961 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.003 ms ]
(karocyt)Running: Boil Water           [ exec-time = 0.004 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.963 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.006 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.053 ms ]
(karocyt)Running: Start Machine        [ exec-time = 0.006 ms ]
(karocyt)Running: Make Coffee          [ exec-time = 0.066 ms ]
